SHARAD Reading at Lat,Lon: 85.0937, 318.1997
Line (Pixels),Value (DN)
2011,4.1271639929618686E-5
2012,4.298015119275078E-5
2013,6.126696825958788E-5
2014,8.585154864704236E-5
2015,8.573020022595301E-5
2016,7.412303239107132E-5
2017,7.001433550613001E-5
2018,6.977756856940687E-5
2019,7.663623546250165E-5
2020,8.552172948839143E-5
2021,7.614041533088312E-5
2022,5.3049137932248414E-5
2023,4.691074718721211E-5
2024,6.980010948609561E-5
2025,9.796835365705192E-5
2026,1.0571126767899841E-4
2027,8.974282536655664E-5
2028,5.7889861636795104E-5
2029,3.0370789318112656E-5
2030,2.7951220545219257E-5
2031,3.8205984310479835E-5
2032,4.583846020977944E-5
2033,6.047288843546994E-5
2034,6.727847357979044E-5
2035,4.386465298011899E-5
2036,2.250025499961339E-5
2037,3.4218548535136506E-5
2038,5.666676224791445E-5
2039,7.005775842117146E-5
2040,7.774617552058771E-5
2041,7.923171506263316E-5
2042,7.69083562772721E-5
2043,7.261033169925213E-5
2044,5.959648115094751E-5
2045,4.475364403333515E-5
2046,4.0930895920610055E-5
2047,4.5819855586159974E-5
2048,6.261985254241154E-5
2049,9.82402780209668E-5
2050,1.3074901653453708E-4
2051,1.2432022776920348E-4
2052,7.494031160604209E-5
2053,2.4746217604842968E-5
2054,1.9238077584304847E-5
2055,5.0170936447102576E-5
2056,7.737684063613415E-5
2057,8.976181561592966E-5
2058,9.596910240361467E-5
2059,9.401310671819374E-5
2060,8.690471440786496E-5
2061,8.626256749266759E-5
2062,8.879175584297627E-5
2063,8.457534568151459E-5
2064,8.236207941081375E-5
2065,9.629361011320725E-5
2066,1.1538853868842125E-4
2067,1.1257566075073555E-4
2068,8.225466444855556E-5
2069,4.624507710104808E-5
2070,2.950274574686773E-5
2071,4.6630375436507165E-5
2072,8.422709652222693E-5
2073,9.921543824020773E-5
2074,7.82655697548762E-5
2075,5.832225360791199E-5
2076,5.764447269029915E-5
2077,6.0263417253736407E-5
2078,6.264862167881802E-5
2079,6.716884672641754E-5
2080,6.669224239885807E-5
2081,6.112068513175473E-5
2082,5.512237476068549E-5
2083,5.5962045735213906E-5
2084,6.829198537161574E-5
2085,7.140949310269207E-5
2086,4.9414080422138795E-5
2087,2.9860590075259097E-5
2088,3.6450044717639685E-5
2089,5.336626782082021E-5
2090,6.536316504934803E-5
2091,7.382235344266519E-5
2092,7.474934682250023E-5
2093,6.214180757524446E-5
2094,4.262902439222671E-5
2095,3.3788652217481285E-5
2096,4.691601134254597E-5
2097,6.696569471387193E-5
2098,7.162110705394298E-5
2099,6.715438212268054E-5
2100,6.422102160286158E-5
2101,5.332842192729004E-5
2102,4.634843207895756E-5
2103,6.827340985182673E-5
2104,9.53016133280471E-5
2105,8.936459926189855E-5
2106,5.901130134589039E-5
2107,2.9980921681271866E-5
2108,1.7838628991739824E-5
2109,2.9645047106896527E-5
2110,5.5819305998738855E-5
2111,8.963166328612715E-5
2112,1.267047191504389E-4
2113,1.3254272926133126E-4
2114,8.92207317519933E-5
2115,5.171403972781263E-5
2116,7.5248368375469E-5
2117,1.3335177209228277E-4
2118,1.6808808140922338E-4
2119,1.683080627117306E-4
2120,1.526558044133708E-4
2121,1.2339159729890525E-4
2122,8.352749136975035E-5
2123,6.109315290814266E-5
2124,7.30525134713389E-5
2125,9.874053648672998E-5
2126,1.1235432612011209E-4
2127,1.093820683308877E-4
2128,9.890699584502727E-5
2129,9.093332482734695E-5
2130,8.575925312470645E-5
2131,7.371890387730673E-5
2132,5.373402018449269E-5
2133,4.168453233432956E-5
2134,4.4134565541753545E-5
2135,4.507079574977979E-5
2136,3.855879185721278E-5
2137,3.64413317583967E-5
2138,4.051211726618931E-5
2139,4.9641745135886595E-5
2140,6.185938400449231E-5
2141,5.926170342718251E-5
2142,4.830980105907656E-5
2143,6.100856262492016E-5
2144,8.003248512977734E-5
2145,6.786514859413728E-5
2146,4.437184543348849E-5
2147,3.9059825212461874E-5
2148,4.347634603618644E-5
2149,4.846588853979483E-5
2150,5.324878293322399E-5
2151,5.108106415718794E-5
2152,4.1472892917227E-5
2153,3.2877007470233366E-5
2154,2.9156581149436533E-5
2155,2.7632158889900893E-5
2156,2.968898661492858E-5
2157,3.749638199224137E-5
2158,4.028610419481993E-5
2159,3.602449578465894E-5
2160,5.056217560195364E-5
2161,8.46105904201977E-5
2162,9.077779395738617E-5
2163,5.930024781264365E-5
2164,3.9750797441229224E-5
2165,4.300404907553457E-5
2166,3.768046371988021E-5
2167,3.269087028456852E-5
2168,4.4377004087436944E-5
2169,4.6315686631714925E-5
2170,3.6460365663515404E-5
2171,4.467531471163966E-5
2172,5.189729927224107E-5
2173,3.110281249973923E-5
2174,1.6779247744125314E-5
2175,2.8706770535791293E-5
2176,3.775421282625757E-5
2177,4.094588439329527E-5
2178,4.930359500576742E-5
2179,4.960395017405972E-5
2180,4.2648134694900364E-5
2181,3.914015178452246E-5
2182,3.733312769327313E-5
2183,4.235399319441058E-5
2184,5.070865518064238E-5
2185,4.687130422098562E-5
2186,3.723150075529702E-5
2187,3.5049659345531836E-5
2188,3.727314106072299E-5
2189,3.485200068098493E-5
2190,3.070091406698339E-5
2191,4.532949242275208E-5
2192,7.530214497819543E-5
2193,9.226136171491817E-5
2194,9.822785796131939E-5
2195,1.0027318057836965E-4
2196,9.454819519305602E-5
2197,1.001072523649782E-4
2198,1.3068702537566423E-4
2199,1.5467096818611026E-4
2200,1.1139205162180588E-4
2201,4.5366803533397615E-4
2202,0.002701148157939315
2203,0.007423980627208948
2204,0.011440148577094078
2205,0.010746815241873264
2206,0.00628127995878458
2207,0.002387478481978178
2208,7.913911249488592E-4
2209,2.9699873994104564E-4
2210,1.160496540251188E-4
2211,1.9727795734070241E-4
2212,3.026056510861963E-4
2213,3.03497479762882E-4
2214,2.4084477627184242E-4
2215,1.0434769501443952E-4
2216,8.679442544234917E-5
2217,5.49348711501807E-4
2218,0.0015236387262120843
2219,0.0025160033255815506
2220,0.0027943465393036604
2221,0.001954129198566079
2222,5.760737112723291E-4
2223,1.8599764734972268E-4
2224,0.0017798373010009527
2225,0.004354305565357208
2226,0.005730666220188141
2227,0.004784009885042906
2228,0.002382066799327731
2229,5.145754548721015E-4
2230,4.4725259067490697E-4
2231,0.0013813539408147335
2232,0.0016489604022353888
2233,9.937399299815297E-4
2234,3.4482585033401847E-4
2235,1.134952181018889E-4
2236,7.599737000418827E-5
2237,8.596599218435585E-5
2238,1.0582957474980503E-4
2239,9.948678780347109E-5
2240,1.0796797869261354E-4
2241,2.455076901242137E-4
2242,5.53562305867672E-4
2243,8.251299732364714E-4
2244,8.18929634988308E-4
2245,6.205919198691845E-4
2246,4.6397745609283447E-4
2247,4.6883514733053744E-4
2248,6.823832518421113E-4
2249,9.603549842722714E-4
2250,0.0010058381594717503
2251,8.104977896437049E-4
2252,6.286315619945526E-4
2253,5.118462722748518E-4
2254,3.6350887967273593E-4
2255,2.6746728690341115E-4
2256,3.292949986644089E-4
2257,4.551579477265477E-4
2258,5.761178908869624E-4
2259,7.203489658422768E-4
2260,7.376241264864802E-4
2261,4.535925108939409E-4
2262,1.642189163248986E-4
2263,4.363232874311507E-4
2264,0.0011661290191113949
2265,0.0014173330273479223
2266,8.695179130882025E-4
2267,5.698441527783871E-4
2268,0.0012188069522380829
2269,0.002054679673165083
2270,0.002354974625632167
2271,0.00241855438798666
2272,0.0026206050533801317
2273,0.0027047155890613794
2274,0.0021561949979513884
2275,0.0010837578447535634
2276,3.8721345481462777E-4
2277,5.093916552141309E-4
2278,8.733955328352749E-4
2279,9.903638856485486E-4
2280,0.0010124911786988378
2281,0.00116518116556108
2282,0.0012983453925698996
2283,0.0010387846268713474
2284,4.6946280053816736E-4
2285,1.4343015209306031E-4
2286,1.6618291556369513E-4
2287,2.10611688089557E-4
2288,2.1023399312980473E-4
2289,2.1766610734630376E-4
2290,2.22789152758196E-4
2291,2.8652671608142555E-4
2292,3.6466706660576165E-4
2293,3.5810531699098647E-4
2294,3.665411495603621E-4
2295,5.417786305770278E-4
2296,8.28564865514636E-4
2297,9.110700339078903E-4
2298,5.921518313698471E-4
2299,2.085627056658268E-4
2300,1.1199822620255873E-4
2301,1.3055933231953532E-4
2302,1.2155693548265845E-4
2303,2.4947820929810405E-4
2304,4.7825451474636793E-4
2305,5.856699426658452E-4
2306,5.159131833352149E-4
2307,3.404105664230883E-4
2308,1.9585118570830673E-4
2309,1.9183770928066224E-4
2310,2.1725906117353588E-4
2311,1.3501937792170793E-4
2312,5.2487808716250584E-5
2313,9.816485544433817E-5
2314,1.9863240595441312E-4
2315,2.512088976800442E-4
2316,2.61283217696473E-4
2317,2.587871567811817E-4
2318,2.376204211032018E-4
2319,1.8824037397280335E-4
2320,1.3348575157579035E-4
2321,1.022077995003201E-4
2322,8.640911255497485E-5
2323,7.07660656189546E-5
2324,6.03409789619036E-5
2325,5.94876692048274E-5
2326,7.856917363824323E-5
2327,1.1448288569226861E-4
2328,1.2022198643535376E-4
2329,8.201004675356671E-5
2330,5.623104516416788E-5
2331,7.721611473243684E-5
2332,1.1413184984121472E-4
2333,1.1262729822192341E-4
2334,8.105475717457011E-5
2335,1.257664116565138E-4
2336,2.670286048669368E-4
2337,3.385946329217404E-4
2338,2.5438444572500885E-4
2339,1.3565424887929112E-4
2340,7.717352855252102E-5
2341,6.616065365960822E-5
2342,9.907906496664509E-5
2343,1.7038032819982618E-4
2344,2.2381843882612884E-4
2345,2.0792527357116342E-4
2346,1.426992821507156E-4
2347,1.009236802929081E-4
2348,1.1862818791996688E-4
2349,1.5152659034356475E-4
2350,1.4221889432519674E-4
2351,1.0662340355338529E-4
2352,9.689621219877154E-5
2353,1.0103029489982873E-4
2354,9.359198884340003E-5
2355,1.1526780144777149E-4
2356,1.631464110687375E-4
2357,1.5359657118096948E-4
2358,9.063490870175883E-5
2359,7.59198737796396E-5
2360,1.3036617019679397E-4
2361,1.7941923579201102E-4
2362,1.8413783982396126E-4
2363,1.680658751865849E-4
2364,1.4989565534051508E-4
2365,1.1840261868201196E-4
2366,6.729664164595306E-5
2367,2.3383410734822974E-5
2368,2.379796569584869E-5
2369,7.439379987772554E-5
2370,1.4081233530305326E-4
2371,1.743757602525875E-4
2372,1.543248217785731E-4
2373,1.075531545211561E-4
2374,7.543432002421468E-5
2375,7.384493801509961E-5
2376,8.209857332985848E-5
2377,6.782608397770673E-5
2378,4.5916451199445873E-5
2379,5.4944524890743196E-5
2380,6.877066334709525E-5
2381,5.303318175720051E-5
2382,3.664939140435308E-5
2383,4.100066507817246E-5
2384,1.0443119390401989E-4
2385,2.997998089995235E-4
2386,5.724613438360393E-4
2387,8.024706621654332E-4
2388,9.713940089568496E-4
2389,0.001002548378892243
2390,7.753029349260032E-4
2391,4.1534766205586493E-4
2392,1.5854701632633805E-4
2393,5.364585013012402E-5
2394,4.2080337152583525E-5
2395,7.134113548090681E-5
2396,8.837228961056098E-5
2397,7.963254029164091E-5
2398,6.57958080410026E-5
2399,6.275288615142927E-5
2400,7.488336996175349E-5
2401,8.396824705414474E-5
2402,7.690607162658125E-5
2403,6.979963654885069E-5
2404,7.079624629113823E-5
2405,7.534226460848004E-5
2406,8.454451017314568E-5
2407,8.849158621160313E-5
2408,8.602375601185486E-5
2409,1.0283498704666272E-4
2410,1.2591495760716498E-4
2411,1.0848876263480633E-4
2412,7.589881715830415E-5
2413,8.113007788779214E-5
2414,8.819368667900562E-5
2415,6.390592898242176E-5
2416,6.260096415644512E-5
2417,9.627519466448575E-5
2418,1.0444485815241933E-4
2419,8.234560664277524E-5
2420,6.93455949658528E-5
2421,7.175895007094368E-5
2422,8.372245792998001E-5
2423,1.0136692435480654E-4
2424,1.1872604954987764E-4
2425,1.4095705409999937E-4
2426,1.5960556629579514E-4
2427,1.450877753086388E-4
2428,9.793374920263886E-5
2429,5.582306403084658E-5
2430,3.689618461066857E-5
2431,2.5069204639294185E-5
2432,1.3296327779244166E-5
2433,1.3827831935486756E-5
2434,3.154389196424745E-5
2435,6.076713907532394E-5
2436,8.396952762268484E-5
2437,7.9352394095622E-5
2438,6.499065784737468E-5
2439,8.272435661638156E-5
2440,1.1941594129893929E-4
2441,1.2018939742119983E-4
2442,7.885751983849332E-5
2443,5.058305760030635E-5
2444,7.247148460010067E-5
2445,1.1588772031245753E-4
2446,1.3430268154479563E-4
2447,1.189962204080075E-4
2448,8.798306953394786E-5
2449,5.7570890930946916E-5
2450,3.64744701073505E-5
2451,3.139912951155566E-5
2452,5.12264778080862E-5
2453,9.355407382827252E-5
2454,1.3552328164223582E-4
2455,1.5249563148245215E-4
2456,1.3580934319179505E-4
2457,9.954864799510688E-5
2458,7.491710130125284E-5
2459,8.249218808487058E-5
2460,1.1761698988266289E-4
2461,1.5332832117564976E-4
2462,1.4357133477460593E-4
2463,7.753161480650306E-5
2464,3.159023617627099E-5
2465,7.111934974091128E-5
2466,1.3070274144411087E-4
2467,1.2172241258667782E-4
2468,9.00361337698996E-5
2469,1.0989055590471253E-4
2470,1.2649805285036564E-4
2471,7.265087333507836E-5
2472,1.8082237147609703E-5
2473,5.336255344445817E-5
2474,1.3606928405351937E-4
2475,1.612906635273248E-4
2476,1.139039231929928E-4
2477,6.674547330476344E-5
2478,5.770915959146805E-5
2479,6.366518209688365E-5
2480,8.29164928290993E-5
2481,1.3038718316238374E-4
2482,1.7300473700743169E-4
2483,1.6751977091189474E-4
2484,1.244326267624274E-4
2485,8.0791229265742E-5
2486,5.31694277015049E-5
2487,4.027174145448953E-5
2488,4.9274818593403324E-5
2489,9.774347563507035E-5
2490,1.7051110626198351E-4
2491,2.1409570763353258E-4
2492,2.1308993746060878E-4
2493,1.996839273488149E-4
2494,1.7722025222610682E-4
2495,1.3533681340049952E-4
2496,9.772674093255773E-5
2497,7.991417805897072E-5
2498,8.449765300611034E-5
2499,1.255928073078394E-4
2500,1.6775255789980292E-4
2501,1.443357323296368E-4
2502,7.911917782621458E-5
2503,4.474324668990448E-5
2504,4.404412902658805E-5
2505,5.773111115559004E-5
2506,9.325353312306106E-5
2507,1.246199826709926E-4
2508,1.1154572712257504E-4
2509,7.015781739028171E-5
2510,4.445435479283333E-5
2511,4.698345219367184E-5
2512,5.5191831052070484E-5
2513,5.022278492106125E-5
2514,4.446625825949013E-5
2515,4.924250970361754E-5
2516,5.1281513151479885E-5
2517,4.6152305003488436E-5
2518,4.4972744944971055E-5
2519,4.93702718813438E-5
2520,5.1722105126827955E-5
2521,4.896328755421564E-5
2522,5.551733556785621E-5
2523,8.948463801061735E-5
2524,1.4171413204167038E-4
2525,1.8995396385435015E-4
2526,2.1334747725632042E-4
2527,1.834924623835832E-4
2528,1.0685362212825567E-4
2529,4.8848585720406845E-5
2530,5.574650640483014E-5
2531,8.854499174049124E-5
2532,7.770900265313685E-5
2533,3.413206650293432E-5
2534,3.896966882166453E-5
2535,1.0285791358910501E-4
2536,1.4105005539022386E-4
2537,1.0691154602682218E-4
2538,5.018612864660099E-5
2539,3.903376273228787E-5
2540,6.818000110797584E-5
2541,7.331561209866777E-5
2542,4.5045260776532814E-5
2543,3.8137997762532905E-5
2544,5.852965477970429E-5
2545,6.153961294330657E-5
2546,3.7287809391273186E-5
2547,1.4989683222665917E-5
2548,1.577596594870556E-5
2549,2.7358855732018128E-5
2550,2.863944973796606E-5
2551,2.7705049433279783E-5
2552,4.212359999655746E-5
2553,6.964751810301095E-5
2554,9.075024718185887E-5
2555,8.510123734595254E-5
2556,7.454757724190131E-5
2557,1.009526095003821E-4
2558,1.3194278290029615E-4
2559,1.0575649503152817E-4
2560,4.9716749344952404E-5
2561,2.468854290782474E-5
2562,2.8507085517048836E-5
2563,3.709797965711914E-5
2564,4.765699486597441E-5
2565,6.303338886937127E-5
2566,9.728228906169534E-5
2567,1.634819491300732E-4
2568,2.3044395493343472E-4
2569,2.48491094680503E-4
2570,2.134541136911139E-4
2571,1.488857378717512E-4
2572,7.213973003672436E-5
2573,1.8292199456482194E-5
2574,1.296429218200501E-5
2575,2.8684795324807055E-5
2576,4.2167725041508675E-5
2577,5.792119191028178E-5
2578,5.865466300747357E-5
2579,3.4696819056989625E-5
2580,1.620382499822881E-5
2581,1.863530633272603E-5
2582,2.697211857594084E-5
2583,3.349104736116715E-5
2584,4.541348971542902E-5
2585,6.84163678670302E-5
2586,9.333465277450159E-5
2587,1.1235550482524559E-4
2588,1.3137048517819494E-4
2589,1.3934503658674657E-4
2590,1.2436597899068147E-4
2591,1.150375246652402E-4
2592,1.3355491682887077E-4
2593,1.5747934230603278E-4
2594,1.5757371147628874E-4
2595,1.279249700019136E-4
2596,9.226951806340367E-5
2597,7.702549191890284E-5
2598,7.428437675116584E-5
2599,6.542183109559119E-5
2600,6.186460086610168E-5
2601,9.524330380372703E-5
2602,1.581047399668023E-4
2603,1.900590432342142E-4
2604,1.757148129399866E-4
2605,1.5792703197803348E-4
2606,1.3166075223125517E-4
2607,8.449560846202075E-5
2608,5.7660909078549594E-5
2609,5.9252615756122395E-5
2610,9.052356472238898E-5
2611,1.8209243717137724E-4
2612,2.549794444348663E-4
2613,2.0074466010555625E-4
2614,9.139500616583973E-5
2615,3.9231072150869295E-5
2616,5.226433859206736E-5
2617,1.251825160579756E-4
2618,1.934827450895682E-4
2619,1.4630377700086683E-4
2620,5.020440949010663E-5
2621,5.792023875983432E-5
2622,1.3718662376049906E-4
2623,1.7136022506747395E-4
2624,1.4726952940691262E-4
2625,1.0202894191024825E-4
2626,7.436081796186045E-5
2627,1.0120057413587347E-4
2628,1.4591682702302933E-4
2629,1.353754778392613E-4
2630,9.121013135882095E-5
2631,8.12906728242524E-5
2632,9.390062041347846E-5
2633,8.44159658299759E-5
2634,6.071897951187566E-5
2635,4.5869554014643654E-5
2636,3.4134376619476825E-5
2637,2.5699357138364576E-5
2638,3.735356222023256E-5
2639,5.779248749604449E-5
2640,7.901018398115411E-5
2641,1.3642005797009915E-4
2642,2.014598430832848E-4
2643,1.746927882777527E-4
2644,7.927575643407181E-5
2645,3.7686186260543764E-5
2646,6.400786514859647E-5
2647,8.924208668759093E-5
2648,8.613172394689173E-5
2649,6.763802957721055E-5
2650,6.0534064687089995E-5
2651,6.882732850499451E-5
2652,6.647108239121735E-5
2653,6.039753498043865E-5
2654,7.41927360650152E-5
2655,9.053694520844147E-5
2656,8.747034007683396E-5
2657,7.001614721957594E-5
2658,5.030186002841219E-5
2659,4.046306275995448E-5
2660,4.158127194386907E-5
2661,3.679581277538091E-5
2662,2.2619271476287395E-5
2663,1.939730645972304E-5
2664,2.6527739464654587E-5
2665,1.9387900465517305E-5
2666,1.4805817954766098E-5
2667,6.325502909021452E-5
2668,1.5605302178300917E-4
2669,2.2085729870013893E-4
2670,2.1471138461492956E-4
2671,1.630878687137738E-4
2672,1.1488096788525581E-4
2673,8.950843766797334E-5
2674,7.137680222513154E-5
2675,4.956516204401851E-5
2676,3.737082806765102E-5
2677,4.803143747267313E-5
2678,8.073722710832953E-5
2679,1.263628073502332E-4
2680,1.6790386871434748E-4
2681,1.9047017849516124E-4
2682,1.9636096840258688E-4
2683,1.9081855134572834E-4
2684,1.6398138541262597E-4
2685,1.165718276752159E-4
2686,7.714318053331226E-5
2687,6.708441651426256E-5
2688,9.397837129654363E-5
2689,1.6262376448139548E-4
2690,2.2866047220304608E-4
2691,2.2230847389437258E-4
2692,1.589334715390578E-4
2693,1.0568172001512721E-4
2694,7.233447831822559E-5
2695,4.4869357225252315E-5
2696,3.590686901588924E-5
2697,4.461967182578519E-5
2698,4.501002695178613E-5
2699,3.0011973649379797E-5
2700,2.96961788990302E-5
2701,6.0943661083001643E-5
2702,1.0221757111139596E-4
2703,1.514165342086926E-4
2704,2.089684858219698E-4
2705,2.227566874353215E-4
2706,1.7467563156969845E-4
2707,1.2261384108569473E-4
2708,9.643667726777494E-5
2709,7.995945634320378E-5
2710,6.444844621000811E-5
2711,4.715353134088218E-5
2712,3.910245141014457E-5
2713,6.305255374172702E-5
2714,1.082833914551884E-4
2715,1.315924891969189E-4
2716,1.1130443454021588E-4
2717,7.595185161335394E-5
2718,6.313590711215511E-5
2719,6.469254003604874E-5
2720,6.127561209723353E-5
2721,7.18605297151953E-5
2722,1.0650980402715504E-4
2723,1.3815349666401744E-4
2724,1.5232109581120312E-4
2725,1.499527134001255E-4
2726,1.2335303472355008E-4
2727,8.385132969124243E-5
2728,5.7366531109437346E-5
2729,4.302000888856128E-5
2730,3.3608273952268064E-5
2731,4.032442666357383E-5
2732,5.88578732276801E-5
2733,6.655302422586828E-5
2734,6.190574640640989E-5
2735,5.8412897487869486E-5
2736,5.388087811297737E-5
2737,4.0707873267820105E-5
2738,3.11338335450273E-5
2739,4.754321344080381E-5
2740,8.605667972005904E-5
2741,1.105034098145552E-4
2742,1.0022909555118531E-4
2743,7.778980216244236E-5
2744,7.187935261754319E-5
2745,8.917294326238334E-5
2746,1.1890761379618198E-4
2747,1.3344147009775043E-4
2748,1.2042051821481436E-4
2749,1.1110224295407534E-4
2750,1.2176435120636597E-4
2751,1.203065476147458E-4
2752,9.686210250947624E-5
2753,9.012275404529646E-5
2754,1.2216565664857626E-4
2755,1.655250380281359E-4
2756,1.7955197836272418E-4
2757,1.5450682258233428E-4
2758,1.1496480146888644E-4
2759,8.534567314200103E-5
2760,6.503574695670977E-5
2761,4.571054523694329E-5
2762,3.706759889610112E-5
2763,5.300759585225023E-5
2764,9.344342834083363E-5
2765,1.543939724797383E-4
2766,2.156426344299689E-4
2767,2.3997474636416882E-4
2768,2.2974844614509493E-4
2769,2.185870980611071E-4
2770,1.998971711145714E-4
2771,1.5451625222340226E-4
2772,1.1038212687708437E-4
2773,9.973235137294978E-5
2774,1.1276834993623197E-4
2775,1.2354976206552237E-4
2776,1.1326773528708145E-4
2777,7.971458398969844E-5
2778,5.351620347937569E-5
2779,6.83717371430248E-5
2780,1.1092931526945904E-4
2781,1.4145279419608414E-4
2782,1.4248440857045352E-4
2783,1.1832099698949605E-4
2784,8.041358523769304E-5
2785,4.816583896172233E-5
2786,3.877976268995553E-5
2787,4.968255234416574E-5
2788,6.531368853757158E-5
2789,8.021684334380552E-5
2790,9.75207076407969E-5
2791,1.0935527097899467E-4
2792,1.0158235090784729E-4
2793,8.00577545305714E-5
2794,7.226450543384999E-5
2795,8.727594104129821E-5
2796,1.0098929487867281E-4
2797,1.0393170668976381E-4
2798,1.1197660205652937E-4
2799,1.1537544196471572E-4
2800,8.863345283316448E-5
2801,4.6517307055182755E-5
2802,2.39007749769371E-5
2803,2.0275625502108596E-5
2804,2.030227733484935E-5
2805,3.863316305796616E-5
2806,8.032671030377969E-5
2807,1.0569049482000992E-4
2808,9.944516204996035E-5
2809,9.271131420973688E-5
2810,9.523384505882859E-5
2811,1.058182751876302E-4
2812,1.3182248221710324E-4
2813,1.365567441098392E-4
2814,9.355489601148292E-5
2815,8.349900599569082E-5
2816,1.9630826136562973E-4
2817,3.77309275791049E-4
2818,4.709253553301096E-4
2819,4.031878779642284E-4
2820,2.5987005210481584E-4
2821,1.614215871086344E-4
2822,1.2773260823450983E-4
2823,1.097470594686456E-4
2824,8.490348409395665E-5
2825,7.773552351864055E-5
2826,1.1762492795241997E-4
2827,2.0245675113983452E-4
2828,3.0124865588732064E-4
2829,3.8180703995749354E-4
2830,4.5168036012910306E-4
2831,5.661334726028144E-4
2832,7.376138819381595E-4
2833,8.419006480835378E-4
2834,7.195935468189418E-4
2835,4.318759893067181E-4
2836,2.785421092994511E-4
2837,4.2441897676326334E-4
2838,7.094182074069977E-4
2839,9.411860955879092E-4
2840,0.0010299558052793145
2841,8.678757585585117E-4
2842,5.20961475558579E-4
2843,2.9407566762529314E-4
2844,2.685438666958362E-4
2845,2.328774135094136E-4
2846,1.6452770796604455E-4
2847,2.131893706973642E-4
2848,2.9432764858938754E-4
2849,2.3975757358130068E-4
2850,1.7965670849662274E-4
2851,2.8456648578867316E-4
2852,3.8545572897419333E-4
2853,3.2867450499907136E-4
2854,3.0815970967523754E-4
2855,4.3642710079438984E-4
2856,5.208877846598625E-4
2857,4.781857714988291E-4
2858,4.387265944387764E-4
2859,4.4909497955814004E-4
2860,4.3797591933980584E-4
2861,3.9308785926550627E-4
2862,3.8657133700326085E-4
2863,4.1903514647856355E-4
2864,3.746549191419035E-4
2865,2.367830602452159E-4
2866,1.394696009811014E-4
2867,1.1876589269377291E-4
2868,9.638247865950689E-5
2869,8.927989983931184E-5
2870,1.6063926159404218E-4
2871,2.824208349920809E-4
2872,4.2050311458297074E-4
2873,5.678200977854431E-4
2874,6.37391465716064E-4
2875,5.38147403858602E-4
2876,3.440107684582472E-4
2877,2.102957951137796E-4
2878,1.7611132352612913E-4
2879,1.8228866974823177E-4
2880,2.0115273946430534E-4
2881,2.2115532192401588E-4
2882,1.9545896793715656E-4
2883,1.1968312901444733E-4
2884,6.243395182536915E-5
2885,5.337296170182526E-5
2886,5.705252624466084E-5
2887,7.53130589146167E-5
2888,1.422780769644305E-4
2889,2.2121872461866587E-4
2890,2.3854896426200867E-4
2891,2.0005347323603928E-4
2892,1.6291500651277602E-4
2893,1.448814437026158E-4
2894,1.331264356849715E-4
2895,1.136607097578235E-4
2896,7.92497448856011E-5
2897,5.3514108003582805E-5
2898,6.801856943638995E-5
2899,1.0980349907185882E-4
2900,1.3680972915608436E-4
2901,1.306683843722567E-4
2902,1.0759479482658207E-4
2903,9.404010779689997E-5
2904,1.0989287693519145E-4
2905,1.494406897109002E-4
2906,1.7088884487748146E-4
2907,1.4699806342832744E-4
2908,1.0619631939334795E-4
2909,8.57155246194452E-5
2910,8.912597695598379E-5
2911,1.0224772267974913E-4
2912,1.0837158333742991E-4
2913,9.922138269757852E-5
2914,9.282358951168135E-5
2915,1.1197888670722023E-4
2916,1.364419877063483E-4
2917,1.2679722567554563E-4
2918,9.068648796528578E-5
2919,5.976973625365645E-5
2920,4.1869723645504564E-5
2921,4.10851243941579E-5
2922,5.482927372213453E-5
2923,6.884451431687921E-5
2924,9.647837578086182E-5
2925,1.4027420547790825E-4
2926,1.5413950313813984E-4
2927,1.267115876544267E-4
2928,9.326282452093437E-5
2929,6.282491813180968E-5
2930,4.493464803090319E-5
2931,5.568021515500732E-5
2932,6.42018931102939E-5
2933,5.608554420177825E-5
2934,7.733806705800816E-5
2935,1.396553561789915E-4
2936,1.9160317606292665E-4
2937,1.8502998864278197E-4
2938,1.2020321446470916E-4
2939,6.12949370406568E-5
2940,7.026817911537364E-5
2941,1.1276208533672616E-4
2942,1.1654030095087364E-4
2943,9.481638699071482E-5
2944,1.0906750685535371E-4
2945,1.4953372010495514E-4
2946,1.595906651346013E-4
2947,1.4286694931797683E-4
2948,1.3807963114231825E-4
2949,1.3278028927743435E-4
2950,1.0077180195366964E-4
2951,6.600257620448247E-5
2952,5.764668094343506E-5
2953,6.285171548370272E-5
2954,6.65113766444847E-5
2955,8.608509961050004E-5
2956,1.324825716437772E-4
2957,1.6805886116344482E-4
2958,1.4481256948783994E-4
2959,8.452865586150438E-5
2960,7.534665201092139E-5
2961,1.4608362107537687E-4
2962,1.9966575200669467E-4
2963,1.625347213121131E-4
2964,1.1209574586246163E-4
2965,1.3055384624749422E-4
2966,1.6226046136580408E-4
2967,1.3689548359252512E-4
2968,9.324066922999918E-5
2969,9.864125604508445E-5
2970,1.4177644334267825E-4
2971,1.5197273751255125E-4
2972,1.025894089252688E-4
2973,4.990770321455784E-5
2974,4.783524855156429E-5
2975,8.985291060525924E-5
2976,1.4629126235377043E-4
2977,1.9005349895451218E-4
2978,2.0335432782303542E-4
2979,1.9513419829308987E-4
2980,1.8401940178591758E-4
2981,1.7194185056723654E-4
2982,1.5614765288773924E-4
2983,1.3637795927934349E-4
2984,1.031996653182432E-4
2985,5.7776767789619043E-5
